x,y,z,sx,sy,sz
650577.05,432857.46,110.34,0.0729,0.0550,0.1686
650702.00,432864.18,109.21,0.1645,0.0456,0.2968
650579.92,432890.57,129.19,0.1101,0.2356,0.3392
650577.77,432887.70,128.26,0.3258,0.5294,0.8003
650573.79,432845.12,109.60,0.0484,0.0257,0.1191
650548.61,432818.42,125.74,0.3315,0.1013,0.4851
650686.93,432894.54,126.35,0.3327,0.2423,0.6538
650615.90,432869.82,110.89,0.1361,0.1814,0.4820
650704.94,432793.17,125.62,0.6529,0.3703,0.8811
650569.34,432801.46,110.29,0.4188,0.1612,0.5714
650624.80,432702.70,109.50,0.0290,0.0234,0.0532
650683.02,432874.16,122.65,0.3657,0.3809,0.7751
650692.00,432890.61,126.69,0.1916,0.1133,0.3360
650531.32,432833.23,125.71,0.7278,0.0616,0.8215
650696.55,432837.87,110.17,0.6662,0.0470,0.7386
650566.09,432860.98,128.30,0.3426,0.2192,0.6940
650558.05,432859.26,125.62,0.2200,0.1362,0.4364
650578.25,432857.16,109.99,0.0755,0.0805,0.3256
650627.30,432687.75,110.42,0.0280,0.0235,0.0555
650661.67,432798.45,110.56,0.0589,0.0778,0.2701
650678.88,432875.84,108.84,0.2086,0.2697,0.5626
650609.64,432693.61,109.45,0.0200,0.0189,0.0437
650688.75,432808.56,111.17,0.1931,0.0796,0.4024
650588.22,432898.56,109.99,0.1876,0.3256,0.4659
650601.07,432700.38,109.75,0.0260,0.0237,0.0553
650608.95,432702.06,109.45,0.0363,0.0358,0.0879
650569.22,432710.23,109.58,0.0348,0.0310,0.0730
650625.38,432686.68,109.42,0.0251,0.0210,0.0445
650581.73,432706.26,109.58,0.0225,0.0223,0.0502
650571.47,432796.57,108.88,0.1697,0.1221,0.3134
650625.78,432696.53,109.77,0.0637,0.0506,0.1373
650709.94,432887.38,125.15,0.1928,0.0861,0.2502
650545.22,432659.21,122.90,0.0518,0.0408,0.1566
650610.60,432722.79,109.75,0.0234,0.0218,0.0485
650592.47,432700.01,111.54,0.0390,0.0369,0.0915
650567.31,432722.49,109.36,0.0289,0.0261,0.0610
650570.72,432781.98,109.76,0.1151,0.2190,0.4367
650558.04,432779.67,124.61,0.1537,0.2087,0.3396
650519.49,432672.43,123.33,0.2082,0.1087,0.4156
650546.50,432697.86,123.08,0.0308,0.0295,0.1047
650631.92,432724.12,110.48,0.0351,0.0255,0.0607
650631.84,432727.92,109.60,0.0227,0.0206,0.0436
650583.62,432723.78,109.67,0.0380,0.0388,0.0880
650628.73,432704.77,109.25,0.0363,0.0309,0.0703
650608.68,432719.48,109.72,0.0471,0.0425,0.1022
650622.65,432714.13,109.40,0.0223,0.0192,0.0410
650612.15,432720.85,110.13,0.0194,0.0179,0.0354
650541.66,432705.71,123.57,0.0418,0.0330,0.1172
650536.73,432687.78,122.91,0.0374,0.0322,0.0925
650578.20,432691.71,109.74,0.0261,0.0253,0.0612
650521.66,432683.72,121.42,0.0560,0.0318,0.0968
650542.92,432702.86,121.97,0.0462,0.0337,0.1155
650517.32,432701.79,124.03,0.2037,0.0818,0.3151
650561.66,432662.48,109.72,0.0259,0.0412,0.1127
650600.93,432698.19,109.66,0.0201,0.0192,0.0380
650579.37,432699.37,109.70,0.0229,0.0225,0.0475
650536.34,432691.71,124.19,0.0675,0.0409,0.1623
650516.83,432711.34,124.97,0.0882,0.0647,0.1511
650520.11,432681.96,122.11,0.0697,0.0359,0.1020
650587.74,432759.81,109.43,0.0327,0.0601,0.0874
650611.39,432760.73,109.48,0.0226,0.0596,0.0882
650484.34,432728.60,114.77,0.1791,0.0826,0.2405
650509.28,432731.33,115.74,0.1240,0.0899,0.2551
650564.00,432688.43,109.50,0.0412,0.0399,0.1437
650591.24,432907.04,109.62,0.1620,0.3372,0.4336
650583.97,432756.81,110.04,0.4410,0.6700,0.9671
650671.01,432896.92,110.83,0.2798,0.4625,0.6692
650512.49,432703.90,124.34,0.0528,0.0385,0.0994
650544.35,432714.37,123.23,0.0533,0.0577,0.2221
650514.80,432690.69,123.91,0.1341,0.0759,0.2837
650516.66,432709.53,123.84,0.1576,0.0812,0.3464
650542.56,432701.89,121.82,0.0278,0.0284,0.0855
650488.32,432689.93,123.59,0.2435,0.0930,0.3276
650561.88,432795.67,129.23,0.1791,0.0766,0.3532
650569.19,432785.10,109.39,0.1101,0.0811,0.3225
650592.47,432795.60,109.26,0.0364,0.0353,0.1274
650592.81,432841.22,109.90,0.0621,0.0846,0.2170
650532.63,432797.17,123.56,0.4161,0.0890,0.5251
650541.52,432797.00,125.68,0.3409,0.0833,0.4795
650614.39,432837.37,110.44,0.0288,0.0437,0.1363
650538.39,432832.25,122.98,0.3337,0.1336,0.4600
650696.42,432851.38,108.83,0.1061,0.0617,0.1714
650692.25,432829.12,109.48,0.2159,0.0698,0.2927
650579.28,432811.12,109.16,0.0311,0.0287,0.1131
650551.60,432778.48,124.78,0.1613,0.0997,0.2716
650563.19,432691.94,109.51,0.0371,0.0359,0.1279
650555.32,432823.80,124.54,0.1907,0.0734,0.3463
650689.20,432849.61,108.94,0.1149,0.0617,0.1802
650590.38,432792.06,109.51,0.0685,0.0481,0.1470
650589.83,432859.11,109.62,0.0250,0.0324,0.0704
650534.25,432812.50,123.18,0.0449,0.0219,0.0870
650585.72,432843.98,109.33,0.0203,0.0249,0.0612
650566.26,432828.21,124.33,0.1192,0.0530,0.2634
650535.48,432823.31,123.93,0.0799,0.0355,0.1359
650689.18,432840.83,108.98,0.1076,0.0455,0.1705
650586.80,432856.30,109.47,0.0261,0.0299,0.0706
650710.14,432829.12,125.16,0.5257,0.1601,0.6501
650569.29,432790.79,109.56,0.0555,0.0325,0.1173
650557.41,432852.22,123.07,0.3293,0.0804,0.5515
650559.11,432831.98,124.81,0.1180,0.0549,0.2224
650570.96,432838.74,124.29,0.0691,0.0560,0.1736
650672.45,432781.65,110.25,0.1830,0.0934,0.2679
650535.20,432821.50,123.91,0.3079,0.0687,0.3935
650566.16,432800.59,128.13,0.1350,0.0624,0.2423
650591.17,432830.79,109.86,0.0250,0.0282,0.0752
650701.61,432833.09,124.91,0.3619,0.1524,0.5084
650595.71,432838.53,109.58,0.0322,0.0525,0.1821
650696.02,432796.90,128.09,0.3175,0.0902,0.4722
650677.40,432787.85,127.10,0.2065,0.1479,0.3538
650700.41,432781.36,126.61,0.4676,0.2195,0.6566
650584.14,432831.27,109.34,0.0250,0.0216,0.0592
650571.41,432859.98,126.83,0.2718,0.0975,0.5865
650492.50,432781.71,115.16,0.2478,0.1102,0.3299
650481.64,432798.01,114.65,0.2744,0.0590,0.3201
650544.13,432783.55,124.92,0.1944,0.2541,0.7449
650573.81,432825.93,109.62,0.0883,0.0478,0.1655
