imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
100_0212_0009.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650825.282217, 435039.403485, 209.023767, 650825.268862, 435039.414223, 209.011616, 0.017880, 0.017880, 0.028700, 0.128913, 0.878948, 172.257940, 0.009184, 0.008892, 0.014984, 0.010826, 0.010762, 0.013536, 0.999999
100_0212_0010.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650822.573467, 435015.551715, 209.037499, 650822.562477, 435015.562333, 209.011681, 0.017685, 0.017685, 0.028510, 0.048874, 0.924855, 172.167676, 0.009102, 0.008805, 0.014751, 0.010836, 0.010615, 0.012682, 0.999999
100_0212_0011.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650819.901655, 434991.586084, 209.004993, 650819.888226, 434991.597054, 208.984751, 0.017735, 0.017735, 0.028530, 0.047645, 0.930829, 170.590339, 0.009100, 0.008817, 0.014714, 0.010958, 0.010689, 0.012826, 0.999999
100_0212_0012.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650817.118665, 434967.707637, 209.090464, 650817.107780, 434967.718225, 209.051831, 0.017260, 0.017260, 0.027930, 0.065519, 0.956513, 169.381534, 0.008960, 0.008661, 0.014738, 0.011099, 0.010845, 0.013674, 0.999999
100_0212_0013.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650814.268736, 434943.707809, 209.056979, 650814.254261, 434943.716671, 209.046901, 0.017280, 0.017280, 0.028050, 0.067118, 0.978282, 169.984236, 0.008985, 0.008675, 0.014853, 0.011384, 0.011010, 0.013824, 0.999999
100_0212_0014.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650811.555446, 434920.009805, 209.060479, 650811.544932, 434920.022335, 209.018973, 0.017495, 0.017495, 0.028070, 0.036699, 0.999941, 169.385181, 0.009066, 0.008744, 0.014842, 0.011512, 0.011069, 0.013481, 0.999999
100_0212_0015.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650808.754768, 434895.931075, 209.052980, 650808.743571, 434895.941994, 209.023044, 0.017645, 0.017645, 0.028120, 0.070844, 1.031007, 168.891427, 0.009120, 0.008810, 0.014911, 0.011479, 0.011355, 0.013997, 0.999999
100_0212_0016.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650805.847372, 434872.295514, 209.025157, 650805.838688, 434872.306708, 208.981125, 0.017545, 0.017545, 0.028100, 0.152376, 1.026093, 168.903817, 0.009086, 0.008772, 0.014969, 0.011576, 0.011548, 0.014098, 0.999999
100_0212_0017.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650803.000222, 434848.162776, 209.062783, 650802.989006, 434848.172384, 209.030192, 0.017260, 0.017260, 0.027130, 0.189215, 1.020825, 168.905251, 0.008986, 0.008663, 0.014691, 0.011422, 0.011554, 0.013573, 0.999999
100_0212_0018.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650800.180937, 434824.396274, 209.016408, 650800.168514, 434824.406735, 208.989261, 0.018105, 0.018105, 0.027630, 0.158272, 1.013563, 168.599406, 0.009265, 0.008968, 0.014878, 0.011695, 0.011785, 0.014310, 0.999999
